,open,high,low,close,volume
2025-10-30,1001.0000,1009.7500,997.0000,998.1000,837299
2025-10-31,994.9000,1004.3500,982.2000,987.6500,944173
2025-11-01,994.9000,1004.3500,982.2000,987.6500,944173
2025-11-02,994.9000,1004.3500,982.2000,987.6500,944173
2025-11-03,985.5000,994.6500,983.2000,992.5000,754198
2025-11-04,989.7500,996.7000,983.6500,985.1000,597421
2025-11-05,989.7500,996.7000,983.6500,985.1000,597421
2025-11-06,983.9000,991.0000,974.2000,984.5000,1294375
2025-11-07,984.3000,984.8000,974.5500,982.9000,611248
2025-11-08,984.3000,984.8000,974.5500,982.9000,611248
2025-11-09,984.3000,984.8000,974.5500,982.9000,611248
2025-11-10,980.0000,991.7500,980.0000,984.3500,501924
2025-11-11,985.0000,993.2500,978.1500,991.7000,235562
2025-11-12,1000.0000,1000.0000,987.3500,989.4500,493627
2025-11-13,983.7500,990.3000,982.5000,986.8000,1462892
2025-11-14,971.5000,991.5500,971.4500,988.8500,408881
2025-11-15,971.5000,991.5500,971.4500,988.8500,408881
2025-11-16,971.5000,991.5500,971.4500,988.8500,408881
2025-11-17,990.0500,997.9500,985.5500,996.8000,1934061
2025-11-18,997.5000,998.8000,989.0000,991.6000,289231
2025-11-19,989.9500,996.5000,984.0000,994.6500,343679
2025-11-20,998.8000,1011.0000,992.1000,1008.8000,1603223
2025-11-21,1002.0500,1008.6000,996.5000,998.1500,833398
2025-11-22,1002.0500,1008.6000,996.5000,998.1500,833398
2025-11-23,1002.0500,1008.6000,996.5000,998.1500,833398
2025-11-24,998.2000,1011.0000,994.3500,999.0500,675044
2025-11-25,1004.0000,1006.0500,988.4000,989.8500,464725
2025-11-26,985.0500,1006.9500,983.0000,1003.8500,1611446
2025-11-27,1001.0000,1016.8500,1001.0000,1009.2500,2242837
2025-11-28,1007.9500,1012.0000,1004.3000,1007.0000,153665
2025-11-29,1007.9500,1012.0000,1004.3000,1007.0000,153665
2025-11-30,1007.9500,1012.0000,1004.3000,1007.0000,153665
2025-12-01,1016.0500,1017.9000,999.4000,1002.5500,330942
2025-12-02,993.0000,994.5000,985.7000,990.0000,424122
2025-12-03,988.4500,1002.3000,987.8500,1000.4500,573043
2025-12-04,998.2500,1004.7500,992.5500,997.2500,1499772
2025-12-05,990.9500,1007.9000,990.9500,1003.1000,406479
2025-12-06,990.9500,1007.9000,990.9500,1003.1000,406479
2025-12-07,990.9500,1007.9000,990.9500,1003.1000,406479
2025-12-08,999.0000,1006.3000,997.8000,1003.1000,201445
2025-12-09,993.8500,1002.7500,993.8500,996.8500,373651
2025-12-10,996.8500,998.6500,985.2000,990.3500,579203
2025-12-11,990.9500,1002.7000,988.5500,1000.2000,1479629
2025-12-12,1001.9000,1004.7000,998.0500,1000.2000,380119
2025-12-13,1001.9000,1004.7000,998.0500,1000.2000,380119
2025-12-14,1001.9000,1004.7000,998.0500,1000.2000,380119
2025-12-15,992.0000,1002.0000,991.9500,995.8500,109101
2025-12-16,992.8500,998.5500,991.0000,994.1500,800750
2025-12-17,998.0500,998.0500,980.8500,984.3000,1068420
2025-12-18,979.9000,987.3000,976.2500,979.6500,1528119
2025-12-19,983.0000,988.0000,979.0000,985.9500,943842
2025-12-20,983.0000,988.0000,979.0000,985.9500,943842
2025-12-21,983.0000,988.0000,979.0000,985.9500,943842
2025-12-22,985.9000,992.8000,984.0500,987.4500,403890
2025-12-23,991.8000,998.5000,987.7000,996.4000,249755
2025-12-24,994.2000,999.3000,993.2500,997.1000,448011
2025-12-25,994.2000,999.3000,993.2500,997.1000,448011
2025-12-26,996.0000,997.3000,988.5000,992.4000,144333
2025-12-27,996.0000,997.3000,988.5000,992.4000,144333
2025-12-28,996.0000,997.3000,988.5000,992.4000,144333
2025-12-29,992.4000,997.3000,987.0000,991.5500,450062
2025-12-30,991.8500,994.8500,982.2000,990.7000,662628
2025-12-31,991.6000,997.5000,987.8000,991.7500,398496
2026-01-01,992.0500,997.5000,989.3000,990.7500,1055343
2026-01-02,990.7500,1003.0000,988.9500,1001.2000,341045
2026-01-03,990.7500,1003.0000,988.9500,1001.2000,341045
2026-01-04,990.7500,1003.0000,988.9500,1001.2000,341045
2026-01-05,1002.1000,1006.3000,976.3500,977.7000,1269360
2026-01-06,968.4500,968.4500,955.9000,962.4000,2306092
2026-01-07,957.2000,957.6000,946.0000,949.1500,7401483
2026-01-08,945.0000,952.8500,941.7000,946.6000,9669961
2026-01-09,946.4500,950.3500,933.2000,938.7000,1014507
2026-01-10,946.4500,950.3500,933.2000,938.7000,1014507
2026-01-11,946.4500,950.3500,933.2000,938.7000,1014507
2026-01-12,938.7000,942.0000,929.5500,936.6500,823824
2026-01-13,945.0500,947.9500,934.0000,937.2500,742953
2026-01-14,932.0000,940.0500,920.2000,926.0000,1217236
2026-01-15,932.0000,940.0500,920.2000,926.0000,1217236
2026-01-16,924.7500,936.2500,919.5000,931.1500,1820553
2026-01-17,924.7500,936.2500,919.5000,931.1500,1820553
2026-01-18,924.7500,936.2500,919.5000,931.1500,1820553
2026-01-19,938.3000,938.7500,919.4500,927.6000,1796067
2026-01-20,927.6500,934.5000,920.0000,931.1500,4299767
2026-01-21,925.0000,932.7000,915.4000,920.1500,685008
2026-01-22,926.2500,928.2500,913.5000,919.4000,1972674
2026-01-23,919.4000,925.9500,909.2500,916.2500,598461
2026-01-24,919.4000,925.9500,909.2500,916.2500,598461
2026-01-25,919.4000,925.9500,909.2500,916.2500,598461
2026-01-26,919.4000,925.9500,909.2500,916.2500,598461
2026-01-27,899.9500,931.0000,899.9000,926.8500,1083872
2026-01-28,928.3500,941.4000,928.3500,932.6500,1325109
2026-01-29,932.6000,939.0000,924.3000,935.6500,2401193
2026-01-30,929.0500,938.9000,927.9500,929.3500,1197750
2026-01-31,929.0500,938.9000,927.9500,929.3500,1197750
2026-02-01,929.0500,938.9000,927.9500,929.3500,1197750
2026-02-02,914.0500,930.0000,909.9000,927.3000,668631
2026-02-03,980.0000,990.0000,945.0500,948.4000,1062402
2026-02-04,949.1500,957.2000,948.7000,953.4500,1139667
2026-02-05,953.5000,955.9500,947.0000,949.5000,4034302
2026-02-06,944.9000,947.6000,937.7500,941.1500,187135
2026-02-07,944.9000,947.6000,937.7500,941.1500,187135
2026-02-08,944.9000,947.6000,937.7500,941.1500,187135
2026-02-09,944.0500,950.5500,935.3500,937.2500,1069386
2026-02-10,933.4000,941.0000,931.0000,932.1000,1548899
2026-02-11,931.0500,936.0000,925.0000,927.0500,1909603
2026-02-12,926.0500,928.7000,918.5000,920.4500,2170350
2026-02-13,916.8500,928.1500,901.5500,905.6500,4105639
2026-02-14,916.8500,928.1500,901.5500,905.6500,4105639
2026-02-15,916.8500,928.1500,901.5500,905.6500,4105639
2026-02-16,905.7000,929.4000,902.2500,925.4500,5217597
2026-02-17,922.9500,928.2500,918.6500,925.6000,621194
