,open,high,low,close,volume
2025-10-30,36.8000,36.9400,36.5600,36.8800,4950856
2025-10-31,36.3200,36.3800,35.9300,36.2200,3500574
2025-11-01,36.3200,36.3800,35.9300,36.2200,3500574
2025-11-02,36.3200,36.3800,35.9300,36.2200,3500574
2025-11-03,36.3100,36.7200,36.2500,36.5000,2905007
2025-11-04,36.2300,36.3700,35.9100,36.2400,3778781
2025-11-05,36.1400,36.1900,35.5100,35.8300,4879543
2025-11-06,35.9500,35.9500,35.5350,35.6900,4087544
2025-11-07,35.7600,36.1400,35.6050,35.8100,3479151
2025-11-08,35.7600,36.1400,35.6050,35.8100,3479151
2025-11-09,35.7600,36.1400,35.6050,35.8100,3479151
2025-11-10,35.8200,36.1400,35.6500,36.0700,2416990
2025-11-11,36.2700,36.7500,36.1800,36.7000,2600905
2025-11-12,36.3800,36.5500,36.2500,36.4800,3588687
2025-11-13,36.4000,36.4000,36.1700,36.2700,3739890
2025-11-14,36.2700,36.5000,35.9600,36.4400,2389826
2025-11-15,36.2700,36.5000,35.9600,36.4400,2389826
2025-11-16,36.2700,36.5000,35.9600,36.4400,2389826
2025-11-17,36.4100,37.1050,36.4100,36.8400,3954756
2025-11-18,36.7300,37.2900,36.6000,37.1300,4245306
2025-11-19,37.0100,37.1200,36.4250,36.4600,2994188
2025-11-20,36.8500,37.3450,36.8200,36.8800,4286600
2025-11-21,36.7100,37.0500,36.4300,36.6700,4854815
2025-11-22,36.7100,37.0500,36.4300,36.6700,4854815
2025-11-23,36.7100,37.0500,36.4300,36.6700,4854815
2025-11-24,36.6400,36.6600,36.2700,36.3800,3874283
2025-11-25,36.1250,36.2200,35.5500,36.1800,2708274
2025-11-26,36.5000,36.7650,36.4250,36.6300,2228081
2025-11-27,36.5000,36.7650,36.4250,36.6300,2228081
2025-11-28,36.8200,37.0100,36.6900,36.8200,1572858
2025-11-29,36.8200,37.0100,36.6900,36.8200,1572858
2025-11-30,36.8200,37.0100,36.6900,36.8200,1572858
2025-12-01,36.7000,36.7800,35.1550,35.4400,8691208
2025-12-02,35.4000,35.8650,35.4000,35.8400,3951528
2025-12-03,36.1900,36.3500,35.8600,35.8700,2896664
2025-12-04,35.8200,36.0900,35.7350,35.9600,2412313
2025-12-05,36.1200,36.1200,35.6000,35.7200,3101320
2025-12-06,36.1200,36.1200,35.6000,35.7200,3101320
2025-12-07,36.1200,36.1200,35.6000,35.7200,3101320
2025-12-08,35.7300,35.7300,35.0000,35.1600,4113196
2025-12-09,35.0800,35.4000,34.9250,35.1700,3131725
2025-12-10,34.8400,35.5500,34.8300,35.4200,2585388
2025-12-11,35.5500,36.0200,35.4400,35.8300,3801302
2025-12-12,35.7600,35.9700,35.5800,35.8900,2994586
2025-12-13,35.7600,35.9700,35.5800,35.8900,2994586
2025-12-14,35.7600,35.9700,35.5800,35.8900,2994586
2025-12-15,35.8500,36.1500,35.5700,35.9900,3475734
2025-12-16,35.6900,35.7800,35.2800,35.3000,3599346
2025-12-17,35.3300,35.3900,34.8600,35.1300,3244348
2025-12-18,35.0400,35.4700,35.0400,35.1500,2397157
2025-12-19,35.4700,36.1600,35.3400,35.8900,4805837
2025-12-20,35.4700,36.1600,35.3400,35.8900,4805837
2025-12-21,35.4700,36.1600,35.3400,35.8900,4805837
2025-12-22,35.8600,36.3900,35.7800,36.2900,3060164
2025-12-23,36.3400,36.5650,36.1800,36.2800,2471791
2025-12-24,36.1600,36.4400,36.1550,36.4000,1536814
2025-12-25,36.1600,36.4400,36.1550,36.4000,1536814
2025-12-26,36.1700,36.4600,36.1100,36.4600,2261333
2025-12-27,36.1700,36.4600,36.1100,36.4600,2261333
2025-12-28,36.1700,36.4600,36.1100,36.4600,2261333
2025-12-29,36.0700,36.4350,36.0200,36.3400,2560111
2025-12-30,36.3600,36.6600,36.3200,36.4400,2780743
2025-12-31,36.5000,36.6550,36.3100,36.5400,1979717
2026-01-01,36.5000,36.6550,36.3100,36.5400,1979717
2026-01-02,36.6500,36.7300,36.1300,36.4800,3247643
2026-01-03,36.6500,36.7300,36.1300,36.4800,3247643
2026-01-04,36.6500,36.7300,36.1300,36.4800,3247643
2026-01-05,35.7500,35.8000,34.1500,34.1700,9159913
2026-01-06,34.1400,34.3128,33.4200,33.4300,8483079
2026-01-07,33.5750,33.9500,33.1800,33.2000,13949347
2026-01-08,33.2000,33.5050,33.1100,33.3900,15963346
2026-01-09,33.1000,33.2350,32.9700,33.1000,5371160
2026-01-10,33.1000,33.2350,32.9700,33.1000,5371160
2026-01-11,33.1000,33.2350,32.9700,33.1000,5371160
2026-01-12,33.0600,33.5850,32.9600,33.5200,3690888
2026-01-13,33.5100,33.5500,32.8900,33.2000,4211345
2026-01-14,33.0000,33.2600,32.8300,32.9200,4616244
2026-01-15,32.9300,32.9300,32.2900,32.5100,6726418
2026-01-16,32.5400,32.7800,32.4600,32.6500,4782791
2026-01-17,32.5400,32.7800,32.4600,32.6500,4782791
2026-01-18,32.5400,32.7800,32.4600,32.6500,4782791
2026-01-19,32.5400,32.7800,32.4600,32.6500,4782791
2026-01-20,32.1800,32.6620,31.9800,32.3400,6418176
2026-01-21,32.0900,32.1800,31.7700,32.1300,6985349
2026-01-22,31.9400,32.2800,31.9400,32.1000,5594818
2026-01-23,31.8900,32.0600,31.3400,32.0600,5414376
2026-01-24,31.8900,32.0600,31.3400,32.0600,5414376
2026-01-25,31.8900,32.0600,31.3400,32.0600,5414376
2026-01-26,32.1500,32.3100,32.0400,32.1500,5042189
2026-01-27,32.4900,32.6600,32.2846,32.4400,3900473
2026-01-28,32.4800,32.4800,32.1200,32.3100,9603158
2026-01-29,32.5400,32.5800,32.2150,32.5500,5929552
2026-01-30,32.2700,32.5000,32.0600,32.3800,4608846
2026-01-31,32.2700,32.5000,32.0600,32.3800,4608846
2026-02-01,32.2700,32.5000,32.0600,32.3800,4608846
2026-02-02,32.2200,33.9450,32.0800,33.7900,9850114
2026-02-03,33.5100,34.4600,33.3250,33.5700,9553916
2026-02-04,33.9100,34.0575,33.5600,33.9500,7082436
2026-02-05,33.7300,34.0800,33.5500,33.9900,5034642
2026-02-06,33.9900,34.4600,33.6700,34.4600,8547440
2026-02-07,33.9900,34.4600,33.6700,34.4600,8547440
2026-02-08,33.9900,34.4600,33.6700,34.4600,8547440
2026-02-09,33.5800,33.9350,33.2800,33.8600,6531495
2026-02-10,33.8500,34.0565,33.6600,33.9900,6454394
2026-02-11,33.5850,33.7300,33.1200,33.2100,7806111
2026-02-12,33.1800,33.3000,32.7500,32.8600,6803795
